giorno,fascia_eta,regione,predizione_vaccini
1 Marzo,12-19,Lazio,6
1 Marzo,12-19,Puglia,6
1 Marzo,12-19,Toscana,5
1 Marzo,12-19,Veneto,5
1 Marzo,12-19,Sicilia,5
1 Marzo,20-29,Toscana,444
1 Marzo,20-29,Puglia,363
1 Marzo,20-29,Veneto,334
1 Marzo,20-29,Piemonte,283
1 Marzo,20-29,Lombardia,271
1 Marzo,30-39,Toscana,911
1 Marzo,30-39,Campania,564
1 Marzo,30-39,Puglia,545
1 Marzo,30-39,Piemonte,393
1 Marzo,30-39,Lombardia,387
1 Marzo,40-49,Toscana,1424
1 Marzo,40-49,Campania,1150
1 Marzo,40-49,Puglia,919
1 Marzo,40-49,Lazio,880
1 Marzo,40-49,Sicilia,678
1 Marzo,50-59,Campania,1867
1 Marzo,50-59,Lazio,1159
1 Marzo,50-59,Toscana,1069
1 Marzo,50-59,Puglia,975
1 Marzo,50-59,Sicilia,622
1 Marzo,60-69,Campania,960
1 Marzo,60-69,Puglia,441
1 Marzo,60-69,Lazio,286
1 Marzo,60-69,Toscana,236
1 Marzo,60-69,Veneto,163
1 Marzo,70-79,Lombardia,133
1 Marzo,70-79,Lazio,91
1 Marzo,70-79,Toscana,54
1 Marzo,70-79,Sardegna,54
1 Marzo,70-79,Sicilia,49
1 Marzo,80-89,Lazio,3192
1 Marzo,80-89,Emilia-Romagna,3011
1 Marzo,80-89,Lombardia,2987
1 Marzo,80-89,Campania,2616
1 Marzo,80-89,Veneto,2422
1 Marzo,90+,Emilia-Romagna,1436
1 Marzo,90+,Lombardia,1076
1 Marzo,90+,Lazio,705
1 Marzo,90+,Toscana,601
1 Marzo,90+,Piemonte,592
1 Aprile,12-19,Lombardia,29
1 Aprile,12-19,Sicilia,25
1 Aprile,12-19,Campania,22
1 Aprile,12-19,Veneto,21
1 Aprile,12-19,Lazio,20
1 Aprile,20-29,Lombardia,1232
1 Aprile,20-29,Veneto,519
1 Aprile,20-29,Lazio,291
1 Aprile,20-29,Campania,278
1 Aprile,20-29,Piemonte,255
1 Aprile,30-39,Lombardia,1906
1 Aprile,30-39,Veneto,551
1 Aprile,30-39,Lazio,537
1 Aprile,30-39,Piemonte,344
1 Aprile,30-39,Campania,323
1 Aprile,40-49,Lombardia,2619
1 Aprile,40-49,Veneto,781
1 Aprile,40-49,Lazio,615
1 Aprile,40-49,Sardegna,488
1 Aprile,40-49,Calabria,407
1 Aprile,50-59,Lombardia,3059
1 Aprile,50-59,Veneto,1154
1 Aprile,50-59,Lazio,860
1 Aprile,50-59,Liguria,640
1 Aprile,50-59,Sardegna,636
1 Aprile,60-69,Lazio,1544
1 Aprile,60-69,Lombardia,1471
1 Aprile,60-69,Veneto,1135
1 Aprile,60-69,Sicilia,968
1 Aprile,60-69,Campania,931
1 Aprile,70-79,Veneto,4268
1 Aprile,70-79,Lazio,3899
1 Aprile,70-79,Emilia-Romagna,3238
1 Aprile,70-79,Sicilia,2951
1 Aprile,70-79,Campania,2894
1 Aprile,80-89,Lombardia,11243
1 Aprile,80-89,Veneto,7134
1 Aprile,80-89,Piemonte,5468
1 Aprile,80-89,Emilia-Romagna,5173
1 Aprile,80-89,Lazio,4958
1 Aprile,90+,Lombardia,2551
1 Aprile,90+,Veneto,1744
1 Aprile,90+,Toscana,1527
1 Aprile,90+,Emilia-Romagna,1390
1 Aprile,90+,Lazio,1129
1 Maggio,12-19,Lombardia,157
1 Maggio,12-19,Campania,85
1 Maggio,12-19,Piemonte,64
1 Maggio,12-19,Sicilia,57
1 Maggio,12-19,Emilia-Romagna,57
1 Maggio,20-29,Lombardia,761
1 Maggio,20-29,Campania,519
1 Maggio,20-29,Lazio,514
1 Maggio,20-29,Sicilia,444
1 Maggio,20-29,Piemonte,353
1 Maggio,30-39,Lombardia,858
1 Maggio,30-39,Campania,705
1 Maggio,30-39,Sicilia,529
1 Maggio,30-39,Lazio,488
1 Maggio,30-39,Emilia-Romagna,453
1 Maggio,40-49,Lombardia,1518
1 Maggio,40-49,Campania,1208
1 Maggio,40-49,Sicilia,920
1 Maggio,40-49,Emilia-Romagna,903
1 Maggio,40-49,Piemonte,866
1 Maggio,50-59,Lombardia,3169
1 Maggio,50-59,Campania,2400
1 Maggio,50-59,Sicilia,1695
1 Maggio,50-59,Piemonte,1544
1 Maggio,50-59,Emilia-Romagna,1453
1 Maggio,60-69,Lombardia,12916
1 Maggio,60-69,Campania,7137
1 Maggio,60-69,Lazio,5437
1 Maggio,60-69,Sicilia,4823
1 Maggio,60-69,Veneto,4552
1 Maggio,70-79,Lombardia,22569
1 Maggio,70-79,Puglia,8323
1 Maggio,70-79,Emilia-Romagna,7078
1 Maggio,70-79,Lazio,6958
1 Maggio,70-79,Veneto,6509
1 Maggio,80-89,Lombardia,7199
1 Maggio,80-89,Toscana,5474
1 Maggio,80-89,Veneto,3368
1 Maggio,80-89,Lazio,3319
1 Maggio,80-89,Emilia-Romagna,3210
1 Maggio,90+,Veneto,1422
1 Maggio,90+,Lombardia,1275
1 Maggio,90+,Lazio,965
1 Maggio,90+,Sicilia,681
1 Maggio,90+,Puglia,659
1 Giugno,12-19,Sicilia,685
1 Giugno,12-19,Lombardia,553
1 Giugno,12-19,Puglia,350
1 Giugno,12-19,Campania,302
1 Giugno,12-19,Emilia-Romagna,132
1 Giugno,20-29,Lombardia,2893
1 Giugno,20-29,Campania,2214
1 Giugno,20-29,Sicilia,1351
1 Giugno,20-29,Emilia-Romagna,1086
1 Giugno,20-29,Lazio,772
1 Giugno,30-39,Lombardia,3579
1 Giugno,30-39,Campania,2475
1 Giugno,30-39,Lazio,1806
1 Giugno,30-39,Sicilia,1620
1 Giugno,30-39,Emilia-Romagna,1604
1 Giugno,40-49,Campania,8443
1 Giugno,40-49,Lombardia,6530
1 Giugno,40-49,Sicilia,5873
1 Giugno,40-49,Lazio,5852
1 Giugno,40-49,Puglia,2750
1 Giugno,50-59,Lombardia,18537
1 Giugno,50-59,Campania,10899
1 Giugno,50-59,Lazio,10359
1 Giugno,50-59,Veneto,7896
1 Giugno,50-59,Puglia,6949
1 Giugno,60-69,Lombardia,8184
1 Giugno,60-69,Toscana,7203
1 Giugno,60-69,Lazio,6908
1 Giugno,60-69,Emilia-Romagna,6457
1 Giugno,60-69,Piemonte,5641
1 Giugno,70-79,Lombardia,4212
1 Giugno,70-79,Sicilia,3017
1 Giugno,70-79,Toscana,2469
1 Giugno,70-79,Lazio,2366
1 Giugno,70-79,Piemonte,2174
1 Giugno,80-89,Sicilia,953
1 Giugno,80-89,Campania,615
1 Giugno,80-89,Liguria,185
1 Giugno,80-89,Provincia Autonoma Trento,181
1 Giugno,80-89,Marche,173
1 Giugno,90+,Sicilia,376
1 Giugno,90+,Lombardia,329
1 Giugno,90+,Campania,241
1 Giugno,90+,Veneto,178
1 Giugno,90+,Emilia-Romagna,125
